Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805,172.289287,-91.371313,0.000000,bottom
C2,0.1u,C_0805,106.929287,-85.450061,90.000000,bottom
C3,0.1u,C_0805,112.729287,-78.700061,180.000000,bottom
C4,0.1u,C_0805,111.229287,-92.150061,0.000000,bottom
C5,0.1u,C_0805,130.529287,-85.500061,-90.000000,bottom
C6,4.7u,C_0805,132.529287,-85.500061,-90.000000,bottom
D1,D,D_SOD-123,36.575000,-11.525000,90.000000,bottom
D2,D,D_SOD-123,39.625000,-11.525000,90.000000,bottom
D3,D,D_SOD-123,55.625000,-11.525000,90.000000,bottom
D4,D,D_SOD-123,58.675000,-11.525000,90.000000,bottom
D5,D,D_SOD-123,77.725000,-11.525000,90.000000,bottom
D6,D,D_SOD-123,96.775000,-11.525000,90.000000,bottom
D7,D,D_SOD-123,115.825000,-11.525000,90.000000,bottom
D8,D,D_SOD-123,134.875000,-11.525000,90.000000,bottom
D9,D,D_SOD-123,153.925000,-11.525000,90.000000,bottom
D10,D,D_SOD-123,172.975000,-11.525000,90.000000,bottom
D11,D,D_SOD-123,192.025000,-11.525000,90.000000,bottom
D12,D,D_SOD-123,211.075000,-11.525000,90.000000,bottom
D13,D,D_SOD-123,230.125000,-11.525000,90.000000,bottom
D14,D,D_SOD-123,249.174977,-11.525061,90.000000,bottom
D15,D,D_SOD-123,246.125000,-11.525000,90.000000,bottom
D16,D,D_SOD-123,6.287500,-30.575000,90.000000,bottom
D17,D,D_SOD-123,46.100000,-30.575000,90.000000,bottom
D18,D,D_SOD-123,49.150000,-30.575000,90.000000,bottom
D19,D,D_SOD-123,68.200000,-30.575000,90.000000,bottom
D20,D,D_SOD-123,87.250000,-30.575000,90.000000,bottom
D21,D,D_SOD-123,106.300000,-30.575000,90.000000,bottom
D22,D,D_SOD-123,125.350000,-30.575000,90.000000,bottom
D23,D,D_SOD-123,144.400000,-30.575000,90.000000,bottom
D24,D,D_SOD-123,163.450000,-30.575000,90.000000,bottom
D25,D,D_SOD-123,182.500000,-30.575000,90.000000,bottom
D26,D,D_SOD-123,201.550000,-30.575000,90.000000,bottom
D27,D,D_SOD-123,220.600000,-30.575000,90.000000,bottom
D28,D,D_SOD-123,239.650000,-30.575000,90.000000,bottom
D29,D,D_SOD-123,236.600000,-30.575000,90.000000,bottom
D31,D,D_SOD-123,53.912500,-49.625000,90.000000,bottom
D32,D,D_SOD-123,50.862500,-49.625000,90.000000,bottom
D33,D,D_SOD-123,69.912500,-49.625000,90.000000,bottom
D34,D,D_SOD-123,72.962500,-49.625000,90.000000,bottom
D35,D,D_SOD-123,92.012500,-49.625000,90.000000,bottom
D36,D,D_SOD-123,111.062500,-49.625000,90.000000,bottom
D37,D,D_SOD-123,146.112500,-49.625000,90.000000,bottom
D38,D,D_SOD-123,149.162500,-49.625000,90.000000,bottom
D39,D,D_SOD-123,168.212500,-49.625000,90.000000,bottom
D40,D,D_SOD-123,187.262500,-49.625000,90.000000,bottom
D41,D,D_SOD-123,206.312500,-49.625000,90.000000,bottom
D42,D,D_SOD-123,225.362500,-49.625000,90.000000,bottom
D44,D,D_SOD-123,272.318700,-49.625000,90.000000,bottom
D46,D,D_SOD-123,29.431250,-68.675000,90.000000,bottom
D48,D,D_SOD-123,60.387500,-68.675000,90.000000,bottom
D49,D,D_SOD-123,63.437500,-68.675000,90.000000,bottom
D50,D,D_SOD-123,82.487500,-68.675000,90.000000,bottom
D51,D,D_SOD-123,101.537500,-68.675000,90.000000,bottom
D52,D,D_SOD-123,120.587500,-68.675000,90.000000,bottom
D53,D,D_SOD-123,139.637500,-68.675000,90.000000,bottom
D54,D,D_SOD-123,158.687500,-68.675000,90.000000,bottom
D55,D,D_SOD-123,177.737500,-68.675000,90.000000,bottom
D56,D,D_SOD-123,196.787500,-68.675000,90.000000,bottom
D57,D,D_SOD-123,215.837500,-68.675000,90.000000,bottom
D58,D,D_SOD-123,242.031460,-68.675056,90.000000,bottom
D59,D,D_SOD-123,268.225000,-68.675000,90.000000,bottom
D62,D,D_SOD-123,45.904299,-83.250061,90.000000,bottom
D63,D,D_SOD-123,69.679287,-84.075561,90.000000,bottom
D67,D,D_SOD-123,150.614189,-84.075561,90.000000,bottom
D72,D,D_SOD-123,216.098619,-84.075561,90.000000,bottom
D73,D,D_SOD-123,239.932417,-84.075561,90.000000,bottom
F1,Polyfuse,R_0805,15.478138,-17.859390,90.000000,bottom
G2,LOGO,mkd-1u,28.600400,-45.466000,180.000000,bottom
H1,B0,free_pin,134.979287,-85.950061,0.000000,bottom
J1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,18.568000,0.620000,0.000000,bottom
J2,ISP,isp_standard,177.999287,-87.970061,0.000000,bottom
J3,ai03_ud,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,42.698273,-18.049549,-90.000000,bottom
LS1,Speaker,speaker_AST1109MLTRQ,163.711075,-85.725072,0.000000,bottom
R1,22,R_0805,17.859390,-17.264077,90.000000,bottom
R2,22,R_0805,20.240642,-17.264077,-90.000000,bottom
R3,5.1k,R_0805,15.478138,-13.096886,90.000000,bottom
R4,5.1k,R_0805,22.621894,-13.096886,-90.000000,bottom
R5,10k,R_0805,172.289287,-88.990061,180.000000,bottom
R6,10k,R_0805,107.579287,-78.700061,0.000000,bottom
SW1,SW_PUSH,SW_SPST_TL3342,204.229287,-87.200061,180.000000,bottom
U1,ATmega32U4,ATMEGA32U4,119.717085,-85.482325,135.000000,bottom
U2,USBLC6-2SC6,USBLC6-2SC6,19.050016,-12.501573,0.000000,bottom
X1,XTAL_GND,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,106.279287,-91.600061,0.000000,bottom
K1,KEYSW,CHERRY_PLATE_100H,9.525000,-9.525000,0.000000,top
K2,KEYSW,CHERRY_PLATE_100H,28.575000,-9.525000,0.000000,top
K3,KEYSW,CHERRY_PLATE_100H,47.625000,-9.525000,0.000000,top
K4,KEYSW,CHERRY_PLATE_100H,66.675000,-9.525000,0.000000,top
K5,KEYSW,CHERRY_PLATE_100H,85.725000,-9.525000,0.000000,top
K6,KEYSW,CHERRY_PLATE_100H,104.775000,-9.525000,0.000000,top
K7,KEYSW,CHERRY_PLATE_100H,123.825000,-9.525000,0.000000,top
K8,KEYSW,CHERRY_PLATE_100H,142.875000,-9.525000,0.000000,top
K9,KEYSW,CHERRY_PLATE_100H,161.925000,-9.525000,0.000000,top
K10,KEYSW,CHERRY_PLATE_100H,180.975000,-9.525000,0.000000,top
K11,KEYSW,CHERRY_PLATE_100H,200.025000,-9.525000,0.000000,top
K12,KEYSW,CHERRY_PLATE_100H,219.075000,-9.525000,0.000000,top
K13,KEYSW,CHERRY_PLATE_100H,238.125000,-9.525000,0.000000,top
K14,KEYSW,CHERRY_PLATE_100H,257.174977,-9.525061,0.000000,top
K15-1,KEYSW,CHERRY_PLATE_100H,276.225087,-9.524961,0.000000,top
K16,KEYSW,CHERRY_PLATE_150H,14.287500,-28.575000,0.000000,top
K17,KEYSW,CHERRY_PLATE_100H,38.100000,-28.575000,0.000000,top
K18,KEYSW,CHERRY_PLATE_100H,57.150000,-28.575000,0.000000,top
K19,KEYSW,CHERRY_PLATE_100H,76.200000,-28.575000,0.000000,top
K20,KEYSW,CHERRY_PLATE_100H,95.250000,-28.575000,0.000000,top
K21,KEYSW,CHERRY_PLATE_100H,114.300000,-28.575000,0.000000,top
K22,KEYSW,CHERRY_PLATE_100H,133.350000,-28.575000,0.000000,top
K23,KEYSW,CHERRY_PLATE_100H,152.400000,-28.575000,0.000000,top
K24,KEYSW,CHERRY_PLATE_100H,171.450000,-28.575000,0.000000,top
K25,KEYSW,CHERRY_PLATE_100H,190.500000,-28.575000,0.000000,top
K26,KEYSW,CHERRY_PLATE_100H,209.550000,-28.575000,0.000000,top
K27,KEYSW,CHERRY_PLATE_100H,228.600000,-28.575000,0.000000,top
K28,KEYSW,CHERRY_PLATE_100H,247.650000,-28.575000,0.000000,top
K29,KEYSW,CHERRY_PLATE_150H,271.462487,-28.575061,0.000000,top
K31,KEYSW,CHERRY_PLATE_175H,16.668750,-47.625000,0.000000,top
K31-1,KEYSW,CHERRY_PLATE_125H,11.906277,-47.624925,0.000000,top
K32,KEYSW,CHERRY_PLATE_100H,42.862500,-47.625000,0.000000,top
K33,KEYSW,CHERRY_PLATE_100H,61.912500,-47.625000,0.000000,top
K34,KEYSW,CHERRY_PLATE_100H,80.962500,-47.625000,0.000000,top
K35,KEYSW,CHERRY_PLATE_100H,100.012500,-47.625000,0.000000,top
K36,KEYSW,CHERRY_PLATE_100H,119.062500,-47.625000,0.000000,top
K37,KEYSW,CHERRY_PLATE_100H,138.112500,-47.625000,0.000000,top
K38,KEYSW,CHERRY_PLATE_100H,157.162500,-47.625000,0.000000,top
K39,KEYSW,CHERRY_PLATE_100H,176.212500,-47.625000,0.000000,top
K40,KEYSW,CHERRY_PLATE_100H,195.262500,-47.625000,0.000000,top
K41,KEYSW,CHERRY_PLATE_100H,214.312500,-47.625000,0.000000,top
K42,KEYSW,CHERRY_PLATE_100H,233.362500,-47.625000,0.000000,top
K44,KEYSW,CHERRY_PCB_225H,264.318700,-47.625000,0.000000,top
K46,KEYSW,CHERRY_PCB_225H,21.431250,-66.675000,0.000000,top
K48,KEYSW,CHERRY_PLATE_100H,52.387500,-66.675000,0.000000,top
K49,KEYSW,CHERRY_PLATE_100H,71.437500,-66.675000,0.000000,top
K50,KEYSW,CHERRY_PLATE_100H,90.487500,-66.675000,0.000000,top
K51,KEYSW,CHERRY_PLATE_100H,109.537500,-66.675000,0.000000,top
K52,KEYSW,CHERRY_PLATE_100H,128.587500,-66.675000,0.000000,top
K53,KEYSW,CHERRY_PLATE_100H,147.637500,-66.675000,0.000000,top
K54,KEYSW,CHERRY_PLATE_100H,166.687500,-66.675000,0.000000,top
K55,KEYSW,CHERRY_PLATE_100H,185.737500,-66.675000,0.000000,top
K56,KEYSW,CHERRY_PLATE_100H,204.787500,-66.675000,0.000000,top
K57,KEYSW,CHERRY_PLATE_100H,223.837500,-66.675000,0.000000,top
K58-1,KEYSW,CHERRY_PLATE_175H,250.031287,-66.675061,0.000000,top
K59,KEYSW,CHERRY_PLATE_100H,276.225000,-66.675000,0.000000,top
K62-1,KEYSW,CHERRY_PLATE_100H,38.100000,-85.725000,0.000000,top
K63-1,KEYSW,CHERRY_PLATE_150H,61.912500,-85.725000,0.000000,top
K67-1,KEYSW,CHERRY_PCB_700H_F,142.875000,-85.725000,0.000000,top
K72-1,KEYSW,CHERRY_PLATE_150H,223.837500,-85.725000,0.000000,top
K73-1,KEYSW,CHERRY_PLATE_100H,247.650000,-85.725000,0.000000,top
S1,Screw,5.5_5x2.5mm,-11.218811,-50.749125,0.000000,top
S2,Screw,5.5_5x2.5mm,-13.108811,-44.249125,0.000000,top
S3,Screw,5.5_5x2.5mm,128.587608,-47.425040,0.000000,top
S4,Screw,10x5_7x2.5mm,-19.968811,-51.969125,0.000000,top
S5,Screw,10x5_7x2.5mm,-10.858811,-37.999125,0.000000,top
S6,Screw,5.5_5x2.5mm,-6.608811,-44.249125,0.000000,top
